20230605	10:36:30	5186d6bb-578e-4968-9f59-39bd15302ad6	POST 	 http://localhost:3000 /ticket
20230605	10:39:06	36979945-aa2a-4118-b68a-8168fff6cee0	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:39:06	79aa911e-7ca7-435f-9d56-a88427b0483e	POST 	 http://localhost:3000 /ticket
20230605	10:42:04	ec1fa384-2978-4977-833a-ef6192f904b3	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:42:04	c7f79693-5164-4fe8-8034-b82581908872	POST 	 http://localhost:3000 /ticket
20230605	10:45:09	7cc25976-a3de-46e9-b620-a9cb917d739c	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:45:09	b01e937f-c8e0-46e0-8f02-9e9d20d001b7	POST 	 http://localhost:3000 /ticket
20230605	10:49:39	1c2f19ea-4969-4515-a48d-b4ec987a0ce7	OPTIONS 	 http://localhost:3000 /ticket
20230605	10:49:39	c9bab90e-c279-40cd-8a00-96c36a0fd207	POST 	 http://localhost:3000 /ticket
20230605	10:56:17	d38ba635-e200-4d44-a2b8-1e38c9a2d8fb	GET 	 http://localhost:3000 /ticket
20230605	11:14:35	dea80dc3-126c-466f-a8ee-73a70c5aaddb	GET 	 http://localhost:3000 /refresh
20230605	11:14:36	1d9027a4-c89e-4852-9428-d8e68a95cb0f	GET 	 http://localhost:3000 /refresh
20230605	11:14:36	bf5f7e32-2cc3-4335-99ff-5af5febbc51b	GET 	 http://localhost:3000 /ticket
20230605	11:21:44	feb0a322-a8e0-4e6d-9131-38930aaea648	GET 	 http://localhost:3000 /refresh
20230605	11:21:44	1e08be21-7959-4a48-82d3-f61db40659ea	GET 	 http://localhost:3000 /refresh
20230605	11:21:44	03f82a36-f622-43c6-bb3b-1e8747f21da8	GET 	 http://localhost:3000 /ticket
20230605	11:21:50	1ada0389-492d-45f6-bd06-6f0702b9230e	GET 	 http://localhost:3000 /refresh
20230605	11:21:50	0c1e2bc3-3fa7-4296-8a24-a59fd6323765	GET 	 http://localhost:3000 /refresh
20230605	11:21:51	3fd3ca47-002a-47e1-b9b2-58e7fe374c51	GET 	 http://localhost:3000 /ticket
20230605	11:25:21	2601c81f-258a-4f60-94d4-e077fe6bbd55	GET 	 http://localhost:3000 /refresh
20230605	11:25:21	d593e85e-ac49-4016-9b48-4888996a1a43	GET 	 http://localhost:3000 /refresh
20230605	11:25:21	11300c71-5eb6-44e4-9e5b-8676d18a3d1e	GET 	 http://localhost:3000 /ticket
20230605	11:25:56	4767fa8a-3efe-4cd1-a588-842697bfacae	GET 	 http://localhost:3000 /refresh
20230605	11:25:56	61b8a1ab-e9af-48a9-ac18-87832b377a99	GET 	 http://localhost:3000 /refresh
20230605	11:26:04	0da45869-7062-4cf4-9a1d-cefa4f73d461	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	11:26:04	33146a8c-9003-411b-9088-1510d97e5b6e	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	11:26:04	c698e221-f63b-4812-9ac9-87f9d7a941ee	GET 	 http://localhost:3000 /ticket
20230605	11:26:07	0560b1b7-d90b-4ce3-b0d2-ae89754e733f	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	11:26:07	3e8a88ba-5832-46c7-b714-22dc7ac5b99e	GET 	 http://localhost:3000 /ticket
20230605	11:36:17	2843e101-d53c-4a77-adb2-21ad9e144673	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d6ea4e03ff2ecfa253c24
20230605	11:36:17	60b21dbc-7451-40eb-ac93-6fb76f34dee2	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d6ea4e03ff2ecfa253c24
20230605	11:36:17	bbedb7d5-3870-4c09-80fe-6838b5c685a8	GET 	 http://localhost:3000 /ticket
20230605	11:43:09	87d97dfe-bc6f-492a-ba60-12334ed02e13	GET 	 http://localhost:3000 /refresh
20230605	11:43:09	92bac81f-4722-40bd-82e5-b771cb94b4c7	GET 	 http://localhost:3000 /refresh
20230605	11:43:09	4bd040c2-20e5-4fbd-a7d4-61c54b048868	GET 	 http://localhost:3000 /ticket
20230605	11:44:03	df1a93d6-296e-4041-a07e-964ed0fec595	GET 	 http://localhost:3000 /refresh
20230605	11:44:03	440f277d-0e45-41b0-a291-ed127aac99c8	GET 	 http://localhost:3000 /refresh
20230605	11:44:03	da255f9c-8f3d-4634-bed5-225d7eb0abbe	GET 	 http://localhost:3000 /ticket
20230605	11:49:15	f9264ae3-ef95-4a52-88c0-3b614bcf3b24	OPTIONS 	 http://localhost:3000 /ticket
20230605	11:49:15	f6b286ee-825d-47ad-bb91-4a727dc1c930	POST 	 http://localhost:3000 /ticket
20230605	11:49:23	226f20ce-9eb9-432d-b0b7-e4c7cfb0ea40	GET 	 http://localhost:3000 /refresh
20230605	11:49:23	2773549b-0c2b-47c6-8872-197bbc68afd4	GET 	 http://localhost:3000 /refresh
20230605	11:49:23	82e4771c-9b7d-4694-a517-f648c4b8c995	GET 	 http://localhost:3000 /ticket
20230605	11:54:18	10688aa8-79e2-4c2c-870b-bd5439620fe6	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:18	7115cabb-a3c8-44f3-806c-a03ce38a9968	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:18	a052470c-40c6-45c2-918b-e415ae01279d	GET 	 http://localhost:3000 /ticket
20230605	11:54:21	fea4b904-29fa-445f-96ae-d25f2f61ccce	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:21	dcd936f5-8403-4ea1-a8c2-4aa836ac1272	GET 	 http://localhost:3000 /ticket
20230605	11:54:22	c658678f-06ed-49ea-9fe7-1eb97ee73dc9	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:22	3c285519-6088-4d52-864b-5a37206efafb	GET 	 http://localhost:3000 /ticket
20230605	11:54:25	83360510-22d6-4120-acf8-0bee584f0281	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:25	b04ffc83-1ab6-4175-81d4-f188862d3a03	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:54:25	a5faaeb7-7d26-4a9b-b67b-1c172c412d68	GET 	 http://localhost:3000 /ticket
20230605	11:55:16	5b5360e4-aad3-4f69-8273-c5b52dbc5560	OPTIONS 	 http://localhost:3000 /ticket
20230605	11:55:16	8c8e2e75-db61-43fe-a81f-83569f4a2fd4	POST 	 http://localhost:3000 /ticket
20230605	11:55:41	099e0978-ce8c-42d6-9cad-70407c4a4bea	GET 	 http://localhost:3000 /refresh
20230605	11:55:41	15336bf3-5d39-409e-a138-c663cf55491e	GET 	 http://localhost:3000 /refresh
20230605	11:55:41	d336a826-7f32-4238-b4a9-1cddbd5db107	GET 	 http://localhost:3000 /ticket
20230605	11:56:52	3fbf2bf1-e22e-4226-8da4-cf317501f8ed	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:56:52	3739c057-ee2e-46fd-b07d-15131f357cd8	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7e63884e498f602bdcb8
20230605	11:56:52	a3e6f6a6-6748-42bc-abe1-090fd89791e4	GET 	 http://localhost:3000 /ticket
20230605	11:56:54	b5e32d06-d9fc-45f7-93de-b37a1145d3fc	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	11:56:54	89cb6c41-6646-4d7a-9f95-be835dc8a3d7	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	11:56:54	bff3725d-da04-41b5-ab91-b4c6130ca04a	GET 	 http://localhost:3000 /ticket
20230605	12:56:22	11218a02-017b-4839-a841-de487f69c2c4	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	12:56:22	45b4e867-11e8-40cb-b2fa-93417bcfc668	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d6f5de03ff2ecfa253c26
20230605	12:56:22	5c80c393-1eba-4d5d-b92c-e147055796c1	GET 	 http://localhost:3000 /ticket
20230605	12:58:55	edcf9904-3843-4fcd-bfaa-028b97cab298	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	12:58:55	5794dbda-6fad-4bca-840f-3049f56c6fb1	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	12:58:55	a93457e6-9b7c-499f-a262-b61d6111766e	GET 	 http://localhost:3000 /ticket
20230605	13:03:38	6441734d-6d3d-4dd7-8a92-f1c453f232cf	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	13:03:38	a071b2f8-1dff-4149-8ce0-8fad8a6a58f2	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	13:03:38	815f89a2-6351-40af-8751-ca33a077e27c	GET 	 http://localhost:3000 /ticket
20230605	13:04:45	6cec5761-d1cd-4b5f-8fe8-3db5ca67df3d	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	13:04:45	33275ea0-5708-4475-acf0-1bfde19e0ac3	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d706be03ff2ecfa253c28
20230605	13:04:45	2e6c98c0-fcbf-4b9c-9660-0e7964b6eb9e	GET 	 http://localhost:3000 /ticket
20230605	13:59:48	0a1cdb98-302d-49ae-939d-4b8d740aebba	GET 	 http://localhost:3000 /refresh
20230605	13:59:48	224f5b8d-73da-497f-aeda-cd1b9c6721bb	GET 	 http://localhost:3000 /refresh
20230605	13:59:48	05706228-60b2-4519-a5c0-60623648bf3b	GET 	 http://localhost:3000 /ticket
20230605	13:59:55	0c576744-55b1-4a34-8883-91439315b972	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d7fcc884e498f602bdcbf
20230605	13:59:55	4550343a-4fa1-4f6b-9d17-4fb485e18abe	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d7fcc884e498f602bdcbf
20230605	13:59:56	996eaa2b-8029-455e-86d9-6c9ec89b0c97	GET 	 http://localhost:3000 /ticket
20230605	14:07:48	69fe38b6-343d-4ee3-a17d-06de459a2709	OPTIONS 	 http://localhost:3000 /ticket
20230605	14:07:48	5f54f968-4072-45c4-bb16-12df0b382f17	POST 	 http://localhost:3000 /ticket
20230605	14:07:48	de8c7b95-03eb-4e76-9559-3c3a44f082fb	GET 	 http://localhost:3000 /ticket
20230605	14:08:14	d4041bb0-1c81-442d-8e46-4f94e7d01362	GET 	 http://localhost:3000 /refresh
20230605	14:08:14	6470daa9-5aeb-4c21-8828-e919f6075547	GET 	 http://localhost:3000 /refresh
20230605	14:08:14	27117ce3-f17f-4c26-9313-8a93f9999f91	GET 	 http://localhost:3000 /ticket
20230605	14:08:33	e7bc8068-8af3-4ac4-88fb-47e55b1efc65	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d9edcb90b9fbe9ffa1696
20230605	14:08:33	31d233a9-ff73-4c54-9b3d-aae6bb1de511	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d9edcb90b9fbe9ffa1696
20230605	14:08:34	b863a9a8-6d41-44af-aed5-068a683f91ff	GET 	 http://localhost:3000 /ticket
20230605	14:08:57	0f831e82-ea26-40a8-b4f3-0d040337b991	GET 	 http://localhost:3000 /refresh
20230605	14:08:57	b6be6ef0-0ed5-4858-b7f4-7867f39302c1	GET 	 http://localhost:3000 /refresh
20230605	14:08:57	ab0f192c-33c2-4ab6-9739-5dc52d6b77c4	GET 	 http://localhost:3000 /ticket
20230605	14:21:56	82a60cb9-4652-4bc2-bd9b-69e47451d4dc	GET 	 http://localhost:3000 /refresh
20230605	14:21:56	9f76619d-0363-4b19-a434-744b03656227	GET 	 http://localhost:3000 /refresh
20230605	14:21:56	44f0afe5-bccb-4ea3-911e-bde02853add6	GET 	 http://localhost:3000 /ticket
20230605	14:32:22	6c127728-a01a-40e7-8921-45ded3262a37	OPTIONS 	 http://localhost:3000 /ticket
20230605	14:32:22	ee9a8a11-7d6c-441b-9ea4-f13892b90134	POST 	 http://localhost:3000 /ticket
20230605	14:32:22	5d8abf33-cdf0-4cda-91d1-438156c6e91d	GET 	 http://localhost:3000 /ticket
20230605	14:33:08	a8ba2cf7-fc8a-4f2a-afe4-15490f9e80be	GET 	 http://localhost:3000 /refresh
20230605	14:33:08	69d4613a-b1e4-4f87-b9fc-bec052b08f5f	GET 	 http://localhost:3000 /refresh
20230605	14:33:08	7d692441-f778-4516-b31b-46bf3c18139a	GET 	 http://localhost:3000 /ticket
20230605	14:36:11	9956f550-daff-4a12-bbf7-d9a5649d92af	OPTIONS 	 http://localhost:3000 /ticket/updatestatus?id=647d9edcb90b9fbe9ffa1696
20230605	14:36:11	83399008-8558-49bf-9540-f494352b6333	PUT 	 http://localhost:3000 /ticket/updatestatus?id=647d9edcb90b9fbe9ffa1696
20230605	14:36:11	ec403a08-f415-4941-9d65-60c5ed0ce02e	GET 	 http://localhost:3000 /ticket
20230605	14:38:02	418134e5-0e36-413f-8880-5e4bc51d9193	GET 	 http://localhost:3000 /ticket
20230605	14:38:08	3e3dcef8-559e-4bf5-82b0-d6b16bfab59b	GET 	 http://localhost:3000 /logout
20230605	14:44:10	6ccd09ab-6d11-42bb-b771-44c07dc8c7a6	GET 	 http://localhost:3000 /refresh
20230605	14:44:10	5b0aba99-92c9-4a40-a748-f532f8985edf	GET 	 http://localhost:3000 /refresh
20230605	15:09:44	9ed692af-0d49-4572-9a11-9002e79703f5	GET 	 http://localhost:3000 /refresh
20230605	15:09:44	a8d29c54-b8f6-4bf6-ace0-66b555a98e63	GET 	 http://localhost:3000 /refresh
20230605	15:09:44	f6ecc358-83e8-4061-8605-27a4b606a2a8	GET 	 http://localhost:3000 /refresh
20230605	15:09:44	8a692d69-5dda-471c-9c4f-b11ace8f766c	GET 	 http://localhost:3000 /refresh
20230605	15:09:50	8e3b130e-4db5-49b4-9f67-d803e7fb5f4d	GET 	 http://localhost:3000 /refresh
20230605	15:09:50	47738b23-63e1-4022-87f9-5c2bfdd5e2d6	GET 	 http://localhost:3000 /refresh
20230605	15:10:08	900dd3e0-6b5d-476a-bf76-8bf29e4cfa5a	OPTIONS 	 http://localhost:3000 /register
20230605	15:10:08	e31e3693-2cf8-439f-9566-dc1260d2d0ee	POST 	 http://localhost:3000 /register
20230605	15:11:38	8b4cb393-4a9b-4086-a504-57741cd06a46	OPTIONS 	 http://localhost:3000 /register
20230605	15:11:38	4718b0fe-edc5-4eae-8282-c376f99f26d4	POST 	 http://localhost:3000 /register
